topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost_scaled,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.49E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.59165
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.45E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.60275
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.49E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.58975
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.17E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.5819
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.09E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.6048125
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.11E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.5977
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,4.11E+00,104.619,-8.03E+18,0.72,7.15E+18,0.509
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,4.13E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.5106
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.90E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.5355
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.73E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.51475
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.80E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.507675
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.76E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.507725
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.27E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.52265
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.39E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.5068875
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.52E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.4841
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.87E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.5136625
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.90E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.50955
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.07E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.47711875
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.45E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.515325
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.50E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.50665
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.60E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.48530625
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,5.42E+00,104.619,-8.03E+18,0.72,7.15E+18,0.3864
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,6.20E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.3406
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,5.52E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.3786
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,5.06E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.3798
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,5.57E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.3458
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,5.83E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.3269
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,4.30E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.3971
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,4.92E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.3492
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,5.93E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.2872
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.73E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.3949
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,4.22E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.350175
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,6.06E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.242125
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.10E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.40785
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.65E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.3466
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,4.82E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.2615375
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.58E+00,104.619,-8.03E+18,0.72,7.15E+18,0.5848
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.46E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.611
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.57E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.5858
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.31E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.581
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.14E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.6134
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.28E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.582
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.91E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.5862
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.86E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.59955
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.96E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.57585
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.55E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.57755
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.46E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.59885
