topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4822625
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4418875
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.36465
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.3285
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.21545
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.53715
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5442
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55285
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,8,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5813
campus_topo_200b-20h-20ibl.json,8,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.599
campus_topo_200b-20h-20ibl.json,8,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,588.6175,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5749
campus_topo_200b-20h-20ibl.json,8,max,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.60005
campus_topo_200b-20h-20ibl.json,8,max,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.63005
campus_topo_200b-20h-20ibl.json,8,max,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,588.6175,8.85366512103e+18,0.68875,-1.42627391268e+18,0.63075
