error_rate,ntrees,seq,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,edge_latency,cloud_latency,reachability
0.0,2,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_2t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,8166.8106383,381.775,0.216666666667
0.0,2,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_2t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,905.448392555,8727.04721931,0.720555555556
0.0,2,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_2t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,889.792880259,1842.75437949,0.635555555556
0.0,2,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_2t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,890.69579288,1885.12428545,0.635555555556
0.0,2,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_2t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,,2148.49338889,1.0
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,8381.758,,0.216666666667
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1308.8468232,8645.64516129,0.735555555556
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1176.64677804,1869.55836253,0.64
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1229.00875099,1897.11211507,0.64
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,,2112.17305556,1.0
0.0,8,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_8t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,8407.42807626,326.45,0.275555555556
0.0,8,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_8t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1869.55792979,8713.269,0.734444444444
0.0,8,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_8t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1499.02287066,1895.6928756,0.641111111111
0.0,8,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_8t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1503.88091483,1910.99354005,0.641111111111
0.0,8,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_8t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,,2148.81377778,1.0
