choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,diverse-paths,593.8,networkx,8853665121027057643,0.1,200,400,4,0.78,7966,-1426273912677557294,0.525625,40,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,598.15,networkx,8853665121027057643,0.1,200,400,4,0.7325,8064,-1426273912677557294,0.669375,41,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,589.15,networkx,8853665121027057643,0.1,200,400,4,0.7475,8041,-1426273912677557294,0.52125,42,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,592.5,networkx,8853665121027057643,0.1,200,400,4,0.8125,7977,-1426273912677557294,0.260625,43,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,587.0,networkx,8853665121027057643,0.1,200,400,4,0.8025,8013,-1426273912677557294,0.724375,44,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,582.2,networkx,8853665121027057643,0.1,200,400,4,0.7775,7922,-1426273912677557294,0.5125,45,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,588.45,networkx,8853665121027057643,0.1,200,400,4,0.0,7994,-1426273912677557294,0.0,46,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,588.65,networkx,8853665121027057643,0.1,200,400,4,0.75,8012,-1426273912677557294,0.443125,47,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,589.4,networkx,8853665121027057643,0.1,200,400,4,0.7775,8055,-1426273912677557294,0.33,48,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,594.6,networkx,8853665121027057643,0.1,200,400,4,0.7875,8041,-1426273912677557294,0.705,49,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,red-blue,594.1,networkx,8853665121027057643,0.1,200,400,4,0.735,7890,-1426273912677557294,0.296875,0,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
